Name,State,Latitude,Longitude
Afton,WY,42.727,-110.931
Beatrice,NE,40.2736,-96.7455
Adrian,MO,38.3944,-94.3435
Big Creek,MS,33.8464,-89.4159
Big Lake,TX,31.1941,-101.453
Big Spring,TX,32.2389,-101.48
Big Stone Gap,VA,36.8626,-82.7769
Ajo,AZ,32.3923,-112.884
Bend,OR,44.0563,-121.309
Berlin,WI,43.9704,-88.9504
Beulah,ND,47.2665,-101.773
Bieber,CA,41.1332,-121.129
Big Bear City,CA,34.2536,-116.79
Bellingham,WA,48.7548,-122.469
Alturas,CA,41.4898,-120.552
Beaver,UT,38.2759,-112.638
Bearden,AR,33.7276,-92.6187
Anthony,KS,37.1588,-98.0418
Bantam,CT,41.7247,-73.2422
Alliance,NE,42.1025,-102.877
Ashland,WI,46.5799,-90.8713
Anniston,AL,33.6712,-85.8135
Athens,OH,39.327,-82.0987
Avalon,CA,33.3342,-118.332
Allentown,PA,40.5961,-75.4756
Auburn,AL,32.6087,-85.4903
Ardmore,OK,34.1949,-97.1256
Atmore,AL,31.0927,-87.4762
Aliceville,AL,33.1237,-88.1593
Bloomsburg,PA,41.0027,-76.4561
Blountstown,FL,30.443,-85.0455
Bluefield,WV,37.2608,-81.2143
Blythe,CA,33.6219,-114.62
Blytheville,AR,35.9321,-89.9051
Bogalusa,LA,30.7812,-89.8633
Boise City,OK,36.7313,-102.51
Boise,ID,43.6005,-116.231
Boston,MA,42.3188,-71.0852
Colorado Springs,CO,38.8674,-104.76
Columbia,MO,38.9472,-92.3268
Columbia,SC,34.0378,-80.9036
Columbia,TN,35.6238,-87.0484
Columbus,GA,32.51,-84.8771
Columbus,IN,39.2093,-85.9183
Columbus,NE,41.4366,-97.3565
Columbus,OH,39.9862,-82.9855
Colville,WA,48.5454,-117.898
Como,TX,33.0601,-95.4757
Concordia,KS,39.5669,-97.6467
Condon,OR,45.2366,-120.186
Confluence,PA,39.8095,-79.3552
Conroe,TX,30.3238,-95.4824
Cookeville,TN,36.1482,-85.5109
Cooperstown,ND,47.4451,-98.1259
Coos Bay,OR,43.3789,-124.233
Copper Harbor,MI,47.47,-87.8767
Corcoran,CA,36.0841,-119.561
Corinth,MS,34.9474,-88.5143
Corpus Christi,TX,27.7254,-97.3767
Correctionville,IA,42.4775,-95.7831
Corsicana,TX,32.0824,-96.4665
Cortez,CO,37.3503,-108.577
Coshocton,OH,40.2618,-81.848
Cotton City,NM,32.1104,-108.88
Coulee Dam,WA,47.9689,-118.976
Covington,VA,37.7786,-79.9867
Crabtree,PA,40.3637,-79.4695
Craig,CO,40.5171,-107.555
Crandon,WI,45.5686,-88.8973
Cranston,RI,41.7658,-71.4858
Crescent City,CA,41.7728,-124.19
Creston,IA,41.0598,-94.365
Crestview,FL,30.7477,-86.5785
Crosby,ND,48.9162,-103.297
Crosbyton,TX,33.6413,-101.238
Cross Timbers,MO,38.0242,-93.2294
Crouch,ID,44.1161,-115.974
Crystal City,TX,28.6908,-99.8258
Cullman,AL,34.1775,-86.8407
Cullowhee,NC,35.3097,-83.1816
Cumberland,MD,39.6515,-78.7584
Cusick,WA,48.3333,-117.294
Cut Bank,MT,48.6344,-112.33
Cyr,MT,47.0002,-114.588
Dahlonega,GA,34.5311,-83.9804
Dalhart,TX,36.058,-102.512
Dallas,TX,32.7935,-96.7667
Danville,IL,40.1426,-87.6111
Danville,VA,36.5831,-79.4088
Darrington,WA,48.2546,-121.603
Davenport,IA,41.5565,-90.6053
Davenport,WA,47.655,-118.152
Dayton,OH,39.7805,-84.2003
Dayville,OR,44.4667,-119.532
DeRidder,LA,30.8468,-93.2931
DeWitt,AR,34.2874,-91.3383
Decatur,IL,39.8557,-88.9342
Decorah,IA,43.3012,-91.7839
Deer Creek,MN,46.3909,-95.3217
Defiance,OH,41.2813,-84.3657
Del Rio,TX,29.3708,-100.88
Delhi,LA,32.4529,-91.49
Dell City,TX,31.9349,-105.2
Demopolis,AL,32.498,-87.8298
Denver,CO,39.762,-104.876
Des Moines,IA,41.5725,-93.6105
Des Moines,NM,36.7614,-103.834
Desert Center,CA,33.7378,-115.367
Detroit Lakes,MN,46.806,-95.8449
Detroit,MI,42.3834,-83.1024
Diamond Springs,CA,38.692,-120.839
Dickinson,ND,46.8918,-102.793
Dillon,MT,45.218,-112.635
Dodge City,KS,37.7611,-100.018
Dodgeville,WI,42.966,-90.1297
Donalsonville,GA,31.0404,-84.8792
Dora,NM,33.9334,-103.337
Dothan,AL,31.2336,-85.407
Double Springs,AL,34.1502,-87.391
Douglas,AZ,31.3602,-109.539
Dover,DE,39.161,-75.5202
Dublin,GA,32.536,-82.928
Dubois,ID,44.1727,-112.229
Dubuque,IA,42.5002,-90.707
Duchesne,UT,40.1753,-110.394
Duluth,MN,46.7756,-92.1393
Dumas,TX,35.8613,-101.964
Duncan,AZ,32.7344,-109.097
Dunlap,IA,41.8523,-95.6009
Dunmor,KY,37.0753,-86.9951
Durango,CO,37.2659,-107.878
Dushore,PA,41.525,-76.3987
Dyersburg,TN,36.0465,-89.3777
Eagle Pass,TX,28.7125,-100.484
Earth,TX,34.2338,-102.409
East Bernard,TX,29.5241,-96.0622
East Quincy,CA,39.9165,-120.919
Eastland,TX,32.4024,-98.8176
Eatonton,GA,33.3258,-83.3886
Eau Claire,WI,44.8197,-91.4948
Eddyville,KY,37.0759,-88.077
Edenton,NC,36.0579,-76.6008
Edgeley,ND,46.3625,-98.7126
Edwards,CO,39.6215,-106.618
El Centro,CA,32.7865,-115.559
El Dorado,AR,33.2184,-92.664
El Paso de Robles,CA,35.6394,-120.656
El Paso,TX,31.8476,-106.43
Eldon,MO,38.3511,-92.5766
Elgin,SC,34.6724,-80.7215
Elk City,ID,45.8266,-115.438
Elk City,KS,37.2896,-95.9099
Elk City,OK,35.3862,-99.4301
Elkin,NC,36.2621,-80.8443
Elkins,WV,38.9237,-79.8541
Elko,NV,40.8381,-115.768
Ellijay,GA,34.6914,-84.4839
Ellington,MO,37.2364,-90.9733
Ellsworth,KS,38.7327,-98.2285
Elmira,NY,42.0938,-76.8097
Ely,MN,47.9054,-91.8517
Embden,ND,46.805,-97.4395
Emporia,KS,38.4028,-96.1932
Encampment,WY,41.2088,-106.795
Endicott,WA,46.9282,-117.687
Englewood,KS,37.0405,-99.9876
Enid,OK,36.4063,-97.87
Ennis,MT,45.3462,-111.732
Enterprise,OR,45.4258,-117.279
Ephraim,UT,39.3563,-111.585
Erie,PA,42.1167,-80.0733
Escanaba,MI,45.7477,-87.09
Essex,MT,48.2823,-113.609
Eudora,KS,38.9345,-95.0956
Eufaula,AL,31.9102,-85.1505
Eugene,OR,44.0564,-123.117
Eureka,CA,40.7943,-124.156
Eureka,KS,37.8261,-96.289
Eureka,MT,48.879,-115.049
Eureka,SD,45.7707,-99.6207
Evanston,WY,41.2602,-110.965
Evansville,IN,37.9881,-87.5341
Exmore,VA,37.5295,-75.8283
Fairfield Glade,TN,36.0028,-84.8711
Fairfield,CA,38.2583,-122.034
Fairmont,MN,43.6441,-94.4621
Fairview,OK,36.2705,-98.4769
Faith,SD,45.0258,-102.036
Falfurrias,TX,27.2243,-98.1452
Fallbrook,CA,33.3693,-117.226
Falls City,NE,40.0623,-95.5989
Falls City,TX,28.9822,-98.0217
Fargo,ND,46.8651,-96.8292
Farmington,IA,40.6389,-91.7392
Farmington,MO,37.7822,-90.4282
